시발역,동대구,경산  ,동대구,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,동대구,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,경산  ,,,,,
종착역,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,구미  ,,,,,
열차번호,K1702,K1704,K1706,K1708,K1710,K1712,K1714,K1716,K1718,K1720,K1722,K1724,K1726,K1728,K1730,K1732,K1734,K1736,K1738,K1740,K1744,K1746,K1748,K1750,K1752,K1754,K1756,K1758,K1760,K1762,K1764,K1766,K1768,K1770,K1772,K1774,K1776,K1778,K1780,K1782,K1784,K1786,K1788,K1790,K1792,K1794,K1796,,,,,
경산  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,05:30:00,,05:57:00,06:07:00,06:35:00,06:45:00,07:10:00,07:35:00,07:57:00,08:07:00,08:27:00,08:42:00,08:58:00,09:38:00,10:06:00,10:28:00,10:50:00,11:20:00,11:34:00,12:52:00,13:29:00,,14:34:00,14:44:00,15:10:00,15:42:00,16:12:00,16:33:00,16:57:00,17:11:00,17:35:00,17:57:00,18:23:00,18:47:00,19:13:00,19:45:00,20:06:00,20:31:00,20:51:00,21:14:00,21:44:00,22:10:00,22:37:00,22:56:00,23:19:00,23:39:00,,,,,
가천  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,05:35:30,,06:02:30,06:12:30,06:40:30,06:50:30,07:15:30,07:40:30,08:02:30,08:12:30,08:32:30,08:47:30,09:03:30,09:43:30,10:11:30,10:33:30,10:55:30,11:25:30,11:39:30,12:57:30,13:34:30,,14:39:30,14:49:30,15:15:30,15:47:30,16:17:30,16:38:30,17:02:30,17:16:30,17:40:30,18:02:30,18:28:30,18:52:30,19:18:30,19:50:30,20:11:30,20:36:30,20:56:30,21:19:30,21:49:30,22:15:30,22:42:30,23:01:30,23:24:30,23:44:30,,,,,
고모  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,,05:36:30,,06:03:30,06:13:30,06:41:30,06:51:30,07:16:30,07:41:30,08:03:30,08:13:30,08:33:30,08:48:30,09:04:30,09:44:30,10:12:30,10:34:30,10:56:30,11:26:30,11:40:30,12:58:30,13:35:30,,14:40:30,14:50:30,15:16:30,15:48:30,16:18:30,16:39:30,17:03:30,17:17:30,17:41:30,18:03:30,18:29:30,18:53:30,19:19:30,19:51:30,20:12:30,20:37:30,20:57:30,21:20:30,21:50:30,22:16:30,22:43:30,23:02:30,23:25:30,23:45:30,,,,,
동대구,        ,05:41:00,        ,06:08:00,06:18:00,06:46:00,06:56:00,07:21:00,07:46:00,08:08:00,08:18:00,08:38:00,08:53:00,09:09:00,09:49:00,10:17:00,10:39:00,11:01:00,11:31:00,11:45:00,13:03:00,13:40:00,        ,14:45:00,14:55:00,15:21:00,15:53:00,16:23:00,16:44:00,17:08:00,17:22:00,17:46:00,18:08:00,18:34:00,18:58:00,19:24:00,19:56:00,20:17:00,20:42:00,21:02:00,21:25:00,21:55:00,22:21:00,22:48:00,23:07:00,23:30:00,23:50:00,        ,        ,        ,        ,        
,05:25:00,05:42:00,05:55:00,06:09:00,06:19:00,06:47:00,06:57:00,07:22:00,07:47:00,08:08:30,08:19:00,08:39:00,08:54:00,09:10:00,09:50:00,10:18:00,10:40:00,11:02:00,11:32:00,11:46:00,13:04:00,13:41:00,14:20:00,14:46:00,14:56:00,15:22:00,15:54:00,16:24:00,16:45:00,17:09:00,17:25:00,17:47:00,18:09:00,18:35:00,18:59:00,19:25:00,19:57:00,20:17:30,20:43:00,21:03:00,21:26:00,21:56:00,22:22:00,22:49:00,23:07:30,23:31:00,23:50:30,,,,,
대구  ,05:30:00,05:47:00,06:00:00,06:14:00,06:24:00,06:52:00,07:02:00,07:27:00,07:52:00,08:13:30,08:24:00,08:44:00,08:59:00,09:15:00,09:55:00,10:23:00,10:45:00,11:07:00,11:37:00,11:51:00,13:09:00,13:46:00,14:25:00,14:51:00,15:01:00,15:27:00,15:59:00,16:29:00,16:50:00,17:14:00,17:30:00,17:52:00,18:14:00,18:40:00,19:04:00,19:30:00,20:02:00,20:22:30,20:48:00,21:08:00,21:31:00,22:01:00,22:27:00,22:54:00,23:12:30,23:36:00,23:55:30,        ,        ,        ,        ,        
,05:30:30,05:47:30,06:00:30,06:14:30,06:24:30,06:52:30,07:02:30,07:27:30,07:52:30,08:14:00,08:24:30,08:44:30,08:59:30,09:15:30,09:55:30,10:23:30,10:45:30,11:07:30,11:37:30,11:51:30,13:09:30,13:46:30,14:25:30,14:51:30,15:01:30,15:27:30,15:59:30,16:29:30,16:50:30,17:14:30,17:30:30,17:52:30,18:14:30,18:40:30,19:04:30,19:30:30,20:02:30,20:23:00,20:48:30,21:08:30,21:31:30,22:01:30,22:27:30,22:54:30,23:13:00,23:36:30,23:56:00,,,,,
서대구,05:36:00,05:53:00,06:06:00,06:20:00,06:30:00,06:58:00,07:08:00,07:33:00,07:58:00,08:19:30,08:30:00,08:50:00,09:05:00,09:21:00,10:01:00,10:29:00,10:51:00,11:13:00,11:43:00,11:57:00,13:15:00,13:52:00,14:31:00,14:57:00,15:07:00,15:33:00,16:05:00,16:35:00,16:56:00,17:20:00,17:36:00,17:58:00,18:20:00,18:46:00,19:10:00,19:36:00,20:08:00,20:28:30,20:54:00,21:14:00,21:37:00,22:07:00,22:33:00,23:00:00,23:18:30,23:42:00,00:01:30,        ,        ,        ,        ,        
,05:36:30,05:53:30,06:06:30,06:20:30,06:30:30,06:58:30,07:08:30,07:33:30,07:58:30,08:20:00,08:30:30,08:50:30,09:05:30,09:21:30,10:01:30,10:29:30,10:51:30,11:13:30,11:43:30,11:57:30,13:15:30,13:52:30,14:31:30,14:57:30,15:07:30,15:33:30,16:05:30,16:35:30,16:56:30,17:20:30,17:36:30,17:58:30,18:20:30,18:46:30,19:10:30,19:36:30,20:08:30,20:29:00,20:54:30,21:14:30,21:37:30,22:07:30,22:33:30,23:00:30,23:19:00,23:42:30,00:02:00,,,,,
지천  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,05:40:30,05:57:30,06:10:30,06:24:30,06:34:30,07:02:30,07:12:30,07:37:30,08:02:30,08:24:00,08:34:30,08:54:30,09:09:30,09:25:30,10:05:30,10:33:30,10:55:30,11:17:30,11:47:30,12:01:30,13:19:30,13:56:30,14:35:30,15:01:30,15:11:30,15:37:30,16:09:30,16:39:30,17:00:30,17:24:30,17:40:30,18:02:30,18:24:30,18:50:30,19:14:30,19:40:30,20:12:30,20:33:00,20:58:30,21:18:30,21:41:30,22:11:30,22:37:30,23:04:30,23:23:00,23:46:30,00:06:00,,,,,
신동  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,05:45:30,06:02:30,06:15:30,06:29:30,06:39:30,07:07:30,07:17:30,07:42:30,08:07:30,08:29:00,08:39:30,08:59:30,09:14:30,09:30:30,10:10:30,10:38:30,11:00:30,11:22:30,11:52:30,12:06:30,13:24:30,14:01:30,14:40:30,15:06:30,15:16:30,15:42:30,16:14:30,16:44:30,17:05:30,17:29:30,17:45:30,18:07:30,18:29:30,18:55:30,19:19:30,19:45:30,20:17:30,20:38:00,21:03:30,21:23:30,21:46:30,22:16:30,22:42:30,23:09:30,23:28:00,23:51:30,00:11:00,,,,,
연화  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,05:48:00,06:05:00,06:18:00,06:32:00,06:42:00,07:10:00,07:20:00,07:45:00,08:10:00,08:31:30,08:42:00,09:02:00,09:17:00,09:33:00,10:13:00,10:41:00,11:03:00,11:25:00,11:55:00,12:09:00,13:27:00,14:04:00,14:43:00,15:09:00,15:19:00,15:45:00,16:17:00,16:47:00,17:08:00,17:32:00,17:48:00,18:10:00,18:32:00,18:58:00,19:22:00,19:48:00,20:20:00,20:40:30,21:06:00,21:26:00,21:49:00,22:19:00,22:45:00,23:12:00,23:30:30,23:54:00,00:13:30,,,,,
왜관  ,05:52:30,06:09:30,06:22:30,06:36:30,06:46:30,07:14:30,07:24:30,07:49:30,08:14:30,08:36:00,08:46:30,09:06:30,09:21:30,09:37:30,10:17:30,10:45:30,11:07:30,11:29:30,11:59:30,12:13:30,13:31:30,14:08:30,14:47:30,15:13:30,15:23:30,15:49:30,16:21:30,16:51:30,17:12:30,17:36:30,17:52:30,18:14:30,18:36:30,19:02:30,19:26:30,19:52:30,20:24:30,20:45:00,21:10:30,21:30:30,21:53:30,22:23:30,22:49:30,23:16:30,23:35:00,23:58:30,00:18:00,        ,        ,        ,        ,        
,05:53:00,06:10:00,06:23:00,06:37:00,06:47:00,07:15:00,07:25:00,07:50:00,08:15:00,08:36:30,08:47:00,09:07:00,09:22:00,09:38:00,10:18:00,10:46:00,11:08:00,11:30:00,12:00:00,12:18:30,13:32:00,14:09:00,14:48:00,15:14:00,15:31:00,15:50:00,16:22:00,16:52:00,17:13:00,17:37:00,17:57:30,18:15:00,18:41:30,19:03:00,19:27:00,19:53:00,20:25:00,20:45:30,21:11:00,21:31:00,21:54:00,22:24:00,22:50:00,23:17:00,23:35:30,23:59:00,00:18:30,,,,,
약목  ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
,05:59:30,06:16:30,06:29:30,06:43:30,06:53:30,07:21:30,07:31:30,07:56:30,08:21:30,08:43:00,08:53:30,09:13:30,09:28:30,09:44:30,10:24:30,10:52:30,11:14:30,11:36:30,12:06:30,12:25:00,13:38:30,14:15:30,14:54:30,15:20:30,15:37:30,15:56:30,16:28:30,16:58:30,17:19:30,17:43:30,18:04:00,18:21:30,18:48:00,19:09:30,19:33:30,19:59:30,20:31:30,20:52:00,21:17:30,21:37:30,22:00:30,22:30:30,22:56:30,23:23:30,23:42:00,00:05:30,00:25:00,,,,,
사곡  ,06:06:00,06:23:00,06:36:00,06:50:00,07:00:00,07:28:00,07:38:00,08:03:00,08:28:00,08:49:30,09:00:00,09:20:00,09:35:00,09:51:00,10:31:00,10:59:00,11:21:00,11:43:00,12:13:00,12:31:30,13:45:00,14:22:00,15:01:00,15:27:00,15:44:00,16:03:00,16:35:00,17:05:00,17:26:00,17:50:00,18:10:30,18:28:00,18:54:30,19:16:00,19:40:00,20:06:00,20:38:00,20:58:30,21:24:00,21:44:00,22:07:00,22:37:00,23:03:00,23:30:00,23:48:30,00:12:00,00:31:30,        ,        ,        ,        ,        
,06:06:30,06:23:30,06:36:30,06:50:30,07:00:30,07:28:30,07:38:30,08:03:30,08:28:30,08:50:00,09:00:30,09:20:30,09:35:30,09:51:30,10:31:30,10:59:30,11:21:30,11:43:30,12:13:30,12:32:00,13:45:30,14:22:30,15:01:30,15:27:30,15:49:00,16:03:30,16:40:00,17:05:30,17:31:00,17:50:30,18:11:00,18:28:30,18:55:00,19:21:00,19:40:30,20:06:30,20:38:30,20:59:00,21:24:30,21:44:30,22:07:30,22:37:30,23:03:30,23:30:30,23:49:00,00:12:30,00:32:00,,,,,
구미  ,06:12:30,06:29:30,06:42:30,06:56:30,07:06:30,07:34:30,07:44:30,08:09:30,08:34:30,08:56:00,09:06:30,09:26:30,09:41:30,09:57:30,10:37:30,11:05:30,11:27:30,11:49:30,12:19:30,12:38:00,13:51:30,14:28:30,15:07:30,15:33:30,15:55:00,16:09:30,16:46:00,17:11:30,17:37:00,17:56:30,18:17:00,18:34:30,19:01:00,19:27:00,19:46:30,20:12:30,20:44:30,21:05:00,21:30:30,21:50:30,22:13:30,22:43:30,23:09:30,23:36:30,23:55:00,00:18:30,00:38:00,        ,        ,        ,        ,        
,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,,,,